LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
The Hills Shire,130,s,-,,115,s,-,,-,,-,,-,,-,,-,,110,s,-,,110,s,-,,100,s,120,s,-,,-,,125,s,123,s,130,s,120,s,130,s,-,,-,,120,s,120,s,130,s,135,s,130,s,145,s,145,s,-,,150,s,133,s,135,s,140,s,123,s,150,s,150,s,150,s,148,s,-,,160,s,170,s,170,s,-,,170,s,145,s,-,,188,s,155,s,170,s,175,s,170,s,163,s,170,s,150,s,-,,-,,175,s,-,,-,,193,s,180,s,-,,195,s,195,s,200,s,240,s,200,s,240,s,290,s,200,s,270,s,348,s,300,s,230,s,298,s,273,s,250,s,360,s,338,s,320,s,298,,320,s,283,s,320,s,348,s,320,s,330,,373,s,380,s,355,s,370,s,365,s,430,,365,s,360,,420,
Blacktown,93,s,95,s,100,,95,,100,s,103,,95,,100,s,105,,95,,100,s,95,,90,s,100,,100,,100,s,100,s,90,s,100,s,95,s,100,,95,s,110,s,103,s,100,s,110,s,105,s,105,s,100,s,110,s,110,s,115,s,105,s,110,s,105,s,120,s,115,s,110,,120,s,110,s,128,s,115,,120,s,128,s,130,s,130,,128,s,135,s,130,,125,,130,,133,,140,s,140,,130,s,130,,140,,140,,140,,133,s,140,,135,s,150,,150,s,150,,150,s,150,s,150,,150,,160,s,158,,160,,160,s,185,s,180,,180,,180,s,195,,198,,180,,200,s,210,,215,,196,,188,,200,,230,,220,s,220,,220,,240,,240,,253,,260,,250,,260,,250,,250,,245,
Blue Mountains,90,s,100,s,85,s,85,s,80,s,90,s,90,s,90,s,90,,95,s,95,,90,s,90,s,95,s,98,,90,s,100,s,90,s,95,s,95,s,100,,100,s,100,s,105,s,100,s,105,s,95,s,110,s,100,,100,s,105,s,100,s,110,s,110,,110,,110,,115,,120,,110,s,115,,130,,120,s,130,s,148,s,130,,125,s,125,,133,s,130,s,135,s,120,,150,s,130,,135,,140,,140,s,140,s,140,,140,s,148,,140,s,140,s,150,,145,,150,s,140,,140,,150,,150,s,150,s,150,s,150,,150,s,160,s,175,,165,s,180,,178,s,190,s,180,s,190,s,205,s,185,s,200,s,190,s,200,,210,,200,s,210,,200,,205,s,220,,225,s,213,s,225,s,220,s,230,s,243,s,235,
Camden,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,145,s,-,,-,,-,,145,s,-,,-,,-,,150,s,-,,-,,153,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,250,s,-,,-,,-,,-,,-,,-,,-,,-,
Campbelltown,-,,103,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,95,s,100,s,105,s,-,,110,s,-,,-,,-,,-,,-,,105,s,110,s,-,,-,,-,,-,,-,,-,,115,s,-,,-,,-,,110,s,120,s,-,,120,s,-,,115,s,-,,-,,-,,130,s,-,,130,s,-,,-,,-,,128,s,138,s,-,,-,,-,,145,s,-,,-,,-,,-,,-,,-,,130,s,-,,178,s,170,s,-,,-,,-,,-,,-,,200,s,200,s,250,s,-,,250,s,250,s,260,s,250,s,230,s,218,s,293,s,300,s,250,s,305,s,300,s,275,s,-,,250,s,310,s,320,s,280,s,315,s
Fairfield,100,,105,,105,,105,,100,,100,,105,,105,,105,,105,,105,,105,,105,,100,,108,,105,,105,,105,,105,,100,,110,,105,,110,,110,,105,,105,,110,,110,,105,,105,,105,,115,,110,,110,,110,,115,,113,,115,,115,,120,,115,,115,,120,,120,,120,,120,,125,,123,,120,,120,,125,,125,,130,,130,,135,,130,,130,,148,,130,,140,,140,,140,,135,,140,,145,,140,,140,,148,,140,,150,,150,,165,,150,s,175,,175,,190,,190,,200,,195,,200,,210,,200,,220,,218,,220,,218,,219,,230,,240,,230,,240,,250,,240,,240,,250,,250,,250,,250,,250,
Gosford,95,,100,,95,,100,,100,,100,,95,,100,,90,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,110,,103,,105,,108,,105,,110,,110,,110,,110,,115,,115,,110,,115,,110,,120,,120,,120,,120,,120,,125,,125,,120,,125,,125,,125,,130,,125,,130,,128,,135,,130,,125,,140,,135,,135,,130,,140,,130,,140,,140,,143,,140,,140,,150,,138,,150,,150,,150,,150,,160,,160,,155,,161,,165,,165,,160,,190,,180,,180,,190,,185,,175,,200,,198,,210,,220,,198,,200,,215,,205,,220,,225,,225,,220,,240,,230,,238,,250,,250,,250,
Hawkesbury,-,,100,s,90,s,-,,-,,-,,-,,-,,103,s,98,s,100,s,93,s,100,s,98,s,95,s,-,,-,,95,s,80,s,90,s,100,s,-,,90,s,100,s,-,,95,s,100,s,115,s,100,s,105,s,95,s,110,s,110,s,-,,-,,-,,115,s,-,,-,,125,s,115,s,120,s,130,s,-,,110,s,125,s,-,,-,,135,s,-,,-,,-,,130,s,130,s,140,s,158,s,150,s,163,s,150,s,-,,155,s,150,s,133,s,150,s,153,s,153,s,-,,138,s,-,,160,s,-,,-,,-,,165,s,-,,-,,-,,-,,-,,180,s,-,,-,,185,s,-,,223,s,-,,-,,-,,200,s,250,s,-,,-,,-,,-,,220,s,205,s,-,,-,,243,s
Holroyd,98,s,100,,103,,110,,100,,110,,120,,105,,115,,115,,113,,110,s,110,,110,,105,,110,,110,,110,,100,,110,,110,,110,,120,,115,,120,,120,,130,,125,,123,,120,,120,,130,,120,,130,,120,,130,,130,s,123,s,135,,140,s,130,,145,,143,s,145,s,150,s,140,,130,s,140,s,150,s,148,,145,,140,s,145,s,148,s,150,s,148,s,150,s,145,s,140,,160,s,150,,160,s,155,s,155,s,155,s,160,s,153,,150,s,178,s,165,s,183,s,193,,200,s,180,s,220,s,230,s,225,s,200,s,213,s,228,s,245,s,233,s,240,,270,s,250,s,250,s,275,s,280,,278,s,280,s,285,s,280,,270,,300,s,280,,290,,270,s,300,,290,s
Hornsby,140,s,125,s,135,,130,,130,,125,,135,,130,,130,,140,,135,,135,,130,,140,,135,,135,,135,,130,,140,,135,,140,,135,,145,,145,,148,,150,,155,,150,,160,,160,,160,,150,,160,,168,,165,,163,,170,,178,,175,,180,,175,s,180,,183,,200,,185,,200,,185,,190,,210,,200,,195,,210,,220,,230,,210,,250,,240,,250,,250,,245,,250,,250,,260,,270,,255,,270,,270,,270,,290,,290,,270,,300,,295,,300,,315,,330,,333,,330,,328,,340,,350,,350,,350,,348,,365,,370,,345,,345,,370,,360,,373,,380,,360,,390,,375,,375,,395,,395,,410,
Liverpool,103,s,100,,105,,100,s,100,,103,s,100,s,100,,110,,100,,100,,105,,100,,100,,100,,100,,100,,100,,103,,100,s,105,,110,,105,,105,s,105,,108,s,113,,110,s,115,s,115,s,108,s,115,s,115,s,115,s,120,,120,,115,,115,s,120,,120,,120,s,120,,115,s,130,,130,,135,s,120,s,120,,125,,123,s,135,s,130,s,150,s,135,s,140,s,130,s,130,s,130,,110,s,130,s,130,s,140,s,145,,140,,150,s,130,s,140,s,155,s,155,,160,s,155,,175,s,150,s,180,,173,s,200,s,190,s,190,,193,s,200,s,195,,200,,240,,220,,240,,222,,250,s,240,s,260,,260,s,250,s,245,s,235,s,250,s,250,s,255,s,260,s,250,s,265,s
Penrith,105,,100,,105,s,100,s,100,s,108,,95,s,98,s,100,,100,s,100,s,100,,100,,100,,100,,100,,100,,103,s,95,,108,,100,,110,,110,s,110,,115,,110,,105,,108,,110,s,105,,105,s,108,,110,,110,,105,,110,,115,s,100,,90,,115,,115,,120,,115,,120,,125,s,120,s,130,,128,s,120,s,130,,130,,135,,130,s,130,s,135,,130,,133,s,135,s,130,s,135,,135,s,130,,138,s,135,s,150,,140,,150,,150,s,150,s,153,s,150,s,163,,170,s,178,s,160,s,180,s,185,s,175,,188,s,195,s,199,s,193,s,205,s,213,,208,,223,,238,,220,s,220,,220,,228,s,250,,210,s,213,s,240,s,240,,235,s,250,,250,
Pittwater,135,,130,,140,,140,,135,,145,,140,,140,,138,,140,,140,,140,,140,,140,,140,,148,,145,,143,,145,,150,,-,,-,,160,,155,,165,,160,,170,,168,,175,,170,,180,,183,,183,,188,,185,,188,,190,,200,,198,,200,,210,,200,,240,,230,,228,,225,,225,,215,,223,,235,,220,,220,,240,,220,,235,,240,,240,,240,,238,,225,,230,,240,,233,,250,,240,,245,,248,,260,,260,,270,,240,,300,,280,,300,,300,,320,,293,,300,,310,,325,,355,,335,,330,,350,s,360,,355,,350,,350,,340,s,378,,365,,375,,365,,370,,375,,400,,420,,400,,405,
Sutherland Shire,125,,125,,125,,125,,125,,125,,125,,125,,125,,130,,125,,130,,125,,125,,130,,125,,130,,130,,130,,125,,135,,135,,135,,135,,140,,140,,145,,143,,150,,145,,150,,145,,150,,150,,155,,155,,160,,165,,165,,170,,170,,170,,180,,175,,175,,175,,180,,180,,180,,190,,180,,180,,180,,180,,185,,190,,190,,190,,190,,195,,190,,195,,190,,190,,200,,200,,200,,200,,210,,220,,220,,230,,240,,255,,250,,260,,260,,260,,260,,270,,280,,280,,300,,295,,300,,300,,300,,305,,320,,320,,320,,320,,320,,340,,320,,340,,350,,350,,340,
Warringah,140,,145,,145,,140,,145,,140,,140,,140,,145,,140,,145,,145,,145,,145,,145,,145,,145,,150,,150,,150,,155,,155,,160,,160,,165,,165,,170,,170,,173,,175,,180,,180,,185,,190,,185,,190,,190,,200,,200,,200,,220,,220,,220,,225,,230,,230,,240,,240,,240,,240,,230,,230,,250,,245,,240,,240,,250,,255,,250,,250,,270,,250,,260,,260,,270,,270,,270,,278,,285,,295,,300,,310,,325,,330,,330,,335,,330,,340,,335,,350,,350,,350,,360,,395,,370,,380,,390,,395,,390,,400,,390,,400,,400,,400,,403,,410,,425,,430,,420,
Wollondilly,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Wyong,85,s,80,,85,,80,s,90,,85,,90,,85,,88,,85,,90,,90,,90,,90,,85,,85,,85,,90,,90,,90,,90,,90,,95,,95,,92,,95,,100,,98,,95,,98,,100,,100,,100,,100,,100,,95,,95,,100,,110,,103,,110,,110,,105,,110,,105,,110,,118,,110,,110,,110,,120,,110,,120,,120,,115,,130,,120,,125,s,125,,125,,135,,140,,130,,135,,145,,145,,140,,145,,148,,130,,155,,160,,149,,150,,175,,173,,158,,170,,180,,170,,175,,190,,198,,193,,193,,180,,195,,170,,193,,195,s,210,,200,,195,,210,,200,,215,s,200,s,220,,220,
Rest of GMR,85,,85,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,95,,90,,90,,92,,95,,95,,95,,95,,95,,95,,95,,95,,96,,95,,100,,100,,100,,100,,100,,100,,105,,100,,105,,105,,110,,110,,110,,115,,115,,115,,120,,120,,125,,125,,130,,130,,130,,130,,130,,135,,135,,140,,140,,140,,150,,150,,150,,150,,160,,160,,160,,160,,165,,170,,175,,180,,180,,180,,190,,190,,195,,200,,200,,200,,210,,210,,220,,220,,225,,230,,230,,220,,240,,230,,235,
Cessnock,80,s,80,,85,,85,s,85,,90,,90,,85,,90,,85,,90,,85,,90,s,85,s,85,,85,,85,,85,,75,,75,,85,s,85,s,80,s,80,,85,s,75,,80,,85,,80,s,80,,85,s,80,,85,,80,s,85,,85,,85,,80,s,85,,85,,85,,85,,90,,85,,85,,85,,81,s,85,s,85,,90,,85,s,100,s,90,s,100,,95,s,100,s,108,s,108,s,95,s,105,s,108,,108,s,118,s,110,s,113,s,100,s,115,s,125,s,125,s,125,s,130,s,130,s,125,s,130,s,140,s,140,s,165,s,135,s,145,s,150,s,-,,150,s,150,s,160,s,165,s,185,s,185,s,188,s,190,s,170,s,165,s,175,s,190,s,170,s,168,s,180,s,-,,185,s,170,s
Kiama,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,.,,-,,-,,-,,140,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,.,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Lake Macquarie,80,,85,,90,,90,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,95,,90,,95,,95,,95,,90,,95,,95,,100,,98,,100,,100,,100,,100,,100,,100,,100,,100,,110,,100,,110,,110,,110,,110,,120,,115,,115,,115,,120,,120,,125,,135,,130,,125,,130,,130,,140,,130,,130,,145,,145,,140,,150,,148,,150,,150,,160,,170,,160,,168,,163,,175,,170,,190,,180,,185,,193,,168,,190,,200,,208,,220,,205,,213,,220,,210,,215,,225,,210,
Maitland,80,,80,,85,,85,,90,,90,,90,,95,,90,,90,,90,,95,,90,,85,,90,,85,,85,,85,,90,,85,,90,,90,,90,,90,,85,,85,,90,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,90,,95,,95,,90,,95,,90,,93,,95,,95,,95,,95,,95,,95,,100,,100,,100,,105,,100,,110,,110,,110,,115,s,115,s,115,s,120,,120,,115,s,120,,120,s,125,s,120,s,130,,135,s,125,,140,s,130,s,133,s,140,s,140,s,145,s,150,,158,s,155,s,150,,160,s,160,s,170,s,170,,175,s,180,,168,,170,,170,,185,s,200,s,185,,190,,180,s,190,,190,s,190,,190,s
Newcastle,90,,90,,90,,95,,95,,98,,95,,95,,95,,95,,95,,90,,95,,95,,90,,90,,90,,90,,90,,90,,90,,95,,95,,90,,95,,95,,95,,95,,99,,95,,100,,95,,95,,100,,100,,100,,100,,100,,100,,100,,100,,104,,105,,105,,110,,105,,110,,105,,110,,110,,110,,115,,120,,120,,120,,120,,130,,130,,135,,135,,140,,140,,140,,140,,150,,150,,150,,150,,155,,160,,170,,165,,171,,175,,180,,175,,185,,180,,190,,185,,195,,195,,208,,205,,220,,215,,240,,220,,245,,240,,260,,250,,255,,276,,245,,250,,275,,270,,260,
Port Stephens,83,s,80,s,80,s,80,s,90,s,80,s,80,s,90,s,85,s,83,s,83,s,85,s,83,s,85,s,83,s,80,s,90,s,85,s,85,,85,s,85,s,85,s,88,s,85,s,90,s,85,s,84,s,90,s,88,s,90,s,93,s,88,s,90,,105,s,90,s,90,s,95,s,90,s,95,s,100,s,100,s,100,s,105,s,100,s,108,,110,s,110,s,103,s,110,s,115,s,120,s,120,s,123,s,120,s,118,s,130,s,120,s,125,s,130,s,130,s,130,s,130,s,135,s,140,s,130,s,138,s,140,s,140,s,138,s,-,,140,s,-,,150,s,165,s,145,s,150,s,-,,160,s,165,s,178,s,173,s,165,s,-,,-,,170,s,-,,180,s,185,s,180,s,188,s,-,,193,s,185,s,190,s,195,s,183,s,195,s,195,s,203,s
Shellharbour,-,,90,s,85,s,93,s,90,s,90,s,90,s,85,s,95,s,85,s,95,s,80,s,95,s,90,s,90,s,-,,-,,100,s,93,s,95,s,95,s,90,s,93,s,95,s,90,s,98,s,103,s,100,s,95,s,100,s,95,s,100,s,-,,100,s,95,s,100,s,100,s,100,s,103,s,105,s,100,s,110,s,110,s,105,s,115,s,110,s,110,s,120,s,113,s,120,s,110,s,-,,125,s,120,s,120,s,135,s,133,s,125,s,-,,135,s,-,,-,,-,,-,,123,s,148,s,-,,138,s,150,s,-,,150,s,-,,168,s,150,s,140,s,155,s,160,s,168,s,150,s,155,s,-,,185,s,-,,190,s,-,,225,s,200,s,-,,200,s,-,,-,,195,s,-,,-,,-,,-,,-,,-,,-,
Wollongong,80,,80,,80,,80,,85,,85,,85,,85,,85,,85,,85,,90,,90,,85,,90,,85,,90,,90,,90,,90,,90,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,95,,98,,95,,100,,100,,100,,95,,108,,100,,105,,110,,110,,110,,120,,110,,115,,120,,120,,120,,125,,120,,130,,130,,133,,130,,140,,135,,130,,135,,135,,135,,140,,135,,150,,140,,150,,150,,153,,160,,160,,168,,160,,170,,170,,180,,180,,183,,190,,190,,200,,200,,210,,210,,220,,210,,220,,210,,220,,225,,240,,220,,240,,230,,240,
Rest of NSW,70,,70,,75,,75,,75,,75,,75,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,85,,80,,80,,80,,80,,80,,80,,85,,85,,85,,85,,85,,90,,90,,90,,90,,90,,90,,95,,95,,100,,100,,100,,100,,105,,100,,110,,110,,110,,110,,120,,115,,115,,120,,120,,120,,125,,120,,120,,130,,130,,130,,130,,135,,135,,140,,140,,145,,140,,150,,150,,150,,150,,150,,150,,157,,155,,160,,170,,170,,170,,170,,170,,175,,175,,175,,180,
New South Wales,120,,120,,120,,120,,120,,120,,125,,120,,125,,125,,125,,120,,120,,125,,120,,125,,120,,125,,130,,130,,130,,135,,140,,140,,135,,140,,150,,150,,150,,150,,155,,155,,155,,160,,165,,170,,170,,175,,180,,185,,185,,200,,200,,210,,205,,215,,210,,220,,220,,220,,220,,225,,230,,230,,230,,240,,235,,240,,245,,250,,250,,250,,255,,260,,260,,260,,270,,275,,280,,290,,295,,300,,320,,325,,330,,330,,325,,335,,340,,340,,350,,350,,350,,365,,355,,375,,380,,380,,380,,390,,395,,400,,400,,400,,400,,410,,430,,420,,430,
