LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
Sydney,150,,150,,155,,150,,150,,155,,150,,150,,160,,160,,155,,155,,160,,160,,160,,160,,160,,170,,170,,170,,180,,180,,185,,200,,200,,200,,215,,218,,210,,210,,220,,225,,230,,230,,240,,250,,250,,260,,260,,280,,280,,300,,300,,310,,300,,300,,300,,300,,300,,300,,300,,300,,305,,300,,300,,300,,310,,310,,310,,320,,320,,330,,330,,330,,340,,350,,350,,350,,365,,370,,370,,380,,400,,410,,420,,420,,420,,425,,430,,430,,450,,450,,460,,470,,480,,500,,495,,500,,500,,510,,500,,500,,510,,520,,520,,520,,530,,550,,540,
Waverley,150,,150,,150,,150,,150,,155,,150,,150,,155,,155,,155,,150,,160,,160,,155,,160,,160,,160,,166,,170,,175,,180,,180,,185,,190,,190,,190,,200,,200,,210,,210,,220,,218,,220,,220,,230,,230,,230,,235,,250,,250,,260,,250,,273,,260,,270,,260,,265,,260,,270,,260,,275,,285,,270,,270,,290,,280,,275,,270,,300,,300,,290,,300,,300,,310,,300,,300,,330,,330,,330,,330,,370,,370,,380,,375,,400,,400,,400,,395,,420,,430,,420,,410,,450,,450,,450,,450,,488,,473,,490,,470,,500,,500,,500,,480,,520,,510,,500,,495,
Woollahra,170,,175,,170,,165,,170,,170,,170,,170,,170,,170,,175,,170,,170,,180,,170,,180,,175,,180,,185,,190,,190,,190,,195,,200,,208,,210,,213,,210,,230,,220,,230,,230,,230,,233,,240,,250,,250,,250,,260,,263,,278,,280,,290,,285,,290,,295,,318,,340,,320,,320,,290,,285,,280,,285,,280,,285,,280,,280,,275,,280,,280,,288,,300,,310,,300,,300,,328,,310,,330,,350,,338,,360,,370,,388,,390,,385,,393,,398,,400,,380,,400,,420,,415,,415,,450,,450,,460,,460,,450,,478,,450,,455,,470,,485,,460,,495,,480,,495,,475,
Middle Ring,125,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,125,,130,,130,,130,,130,,135,,135,,140,,140,,140,,140,,150,,145,,150,,150,,150,,150,,150,,155,,160,,160,,160,,160,,165,,165,,175,,185,,185,,190,,200,,190,,195,,200,,205,,200,,195,,215,,210,,220,,225,,220,,230,,220,,230,,240,,240,,250,,240,,250,,245,,260,,270,,265,,275,,280,,280,,295,,300,,325,,340,,328,,330,,340,,340,,350,,350,,360,,370,,360,,380,,340,,370,,400,,380,,400,,385,,395,,400,,418,,410,,405,,420,,430,,450,,450,
Auburn,-,,115,s,115,s,113,s,110,s,113,s,110,s,115,s,115,s,108,s,115,s,110,s,110,s,100,s,110,,110,,115,s,113,s,110,,115,,115,,120,s,110,s,113,s,120,,120,s,130,s,130,s,125,,130,s,128,s,125,s,133,s,125,,130,s,130,s,130,s,130,s,135,,140,,148,,148,s,150,,140,s,143,,150,s,150,s,145,s,150,s,145,s,140,,150,s,140,,140,s,145,s,150,,145,s,250,,180,,220,,280,,175,,210,,213,,295,,250,,243,,300,,305,,310,,335,,345,,338,,360,,355,,365,,370,,370,,370,,375,,370,,360,,390,,395,,400,,400,,400,,400,,420,,440,,410,,410,,413,,420,,420,,420,,410,,440,,430,
Bankstown,110,s,105,s,125,s,110,s,118,s,-,,120,s,-,,120,s,110,s,120,s,110,s,110,s,-,,110,s,110,s,110,s,113,s,108,s,-,,113,s,113,s,118,s,120,s,133,s,140,s,128,s,128,s,135,s,130,s,123,s,123,s,115,,110,s,120,s,125,s,120,s,120,,135,s,120,s,120,s,135,s,135,s,150,s,130,s,135,s,140,s,130,s,-,,125,s,130,s,150,s,125,s,135,s,125,s,150,s,128,s,140,s,158,s,133,s,138,s,143,s,158,s,160,s,155,s,-,,173,s,160,s,150,s,185,s,160,s,178,s,193,s,195,s,-,,190,s,205,s,210,s,210,s,190,s,213,s,253,s,-,,210,s,140,,180,,170,,220,s,220,,238,,220,s,200,,255,s,243,s,255,,255,,280,s,290,s,285,s
Burwood,120,,123,s,130,,135,,125,,125,,133,,120,,130,,130,,130,,135,,115,,138,,120,,120,,133,,125,s,128,s,130,,140,,140,,125,,145,,138,,150,,140,,148,,155,,150,s,160,,165,,155,,165,,170,,165,,170,,168,,170,,175,,185,,180,,180,,195,,170,,185,,175,,190,,195,,180,,185,,188,,188,,183,s,190,,193,,180,,195,,190,,190,,200,,200,s,210,,200,s,200,s,205,,220,,233,s,250,,220,,220,,228,,230,s,265,s,275,s,285,,285,s,278,s,300,,265,,320,,290,s,300,,300,s,320,,310,s,330,s,350,,370,,360,,350,,370,,375,,360,,460,,415,,390,,410,,460,
Canterbury,110,,115,,120,,115,,115,,115,,115,,115,,115,,115,,115,,115,,110,,115,,110,,110,,110,,110,,110,,115,,115,,120,,120,,125,,120,,125,,130,,125,,125,,125,,130,,130,,135,,135,,135,,140,,140,,135,,140,,140,,140,,145,,150,,150,,148,,150,,150,,145,,145,,145,,150,,145,,150,,145,,145,,145,,150,,150,,150,,145,,150,,150,,160,,158,,155,,150,,160,,160,,170,,165,,190,,195,,200,,193,,220,,230,,220,,230,,235,,240,,240,,255,,250,,260,,420,,470,,473,,280,,270,,280,,280,,280,,280,,293,,310,,300,,290,,300,,300,
Canada Bay,125,s,135,s,140,s,140,s,140,s,123,s,135,,130,s,135,s,148,s,140,s,128,s,135,,145,s,140,s,-,,130,s,150,s,140,s,145,s,135,s,140,s,150,s,145,s,150,s,153,s,160,s,165,s,150,s,160,s,203,s,200,s,165,s,173,s,185,s,175,s,183,s,200,s,170,s,210,s,190,s,215,s,193,s,245,s,195,s,210,s,225,,260,,233,s,300,,290,,250,s,280,s,310,,300,,295,,295,,280,,280,,283,,280,,303,,300,,283,,310,,315,,330,,340,,343,,350,,370,,380,,400,,400,,400,,410,,420,,400,,410,,420,,420,,430,,440,,448,,260,,270,s,265,,460,,480,,480,,455,,470,,470,,480,,490,,488,,488,,500,,500,
Hunters Hill,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,140,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,170,s,160,s,-,,153,s,-,,175,s,170,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,195,s,-,,223,s,285,s,-,,260,s,-,,-,,210,s,240,s,-,,-,,235,s,-,,-,,-,,300,s,-,,-,,320,s,-,,293,s,-,,290,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,435,s
