All Dwellings - One Bedroom,Median Rent ($ per Week) by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
Blacktown,95,,95,,100,,95,,90,,100,,95,,100,,100,,95,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,110,,103,,100,,110,,110,,103,,100,,110,,110,,115,,110,,110,,105,,120,,115,,120,,115,,120,,130,,120,,125,,130,,130,,130,,120,,135,,140,,130,,140,,130,,140,,140,,130,,130,,140,,130,,140,,130,,140,,130,,150,,150,,150,,150,,150,,150,,150,,165,,160,,160,,160,,180,,180,,180,,180,,200,,198,,180,,200,,210,,215,,200,,195,,223,,225,,233,,230,,225,,245,,250,,240,,250,,248,,240,,250,,250,,240,
Blue Mountains,90,,100,,93,,88,,85,,90,,98,,92,,95,,95,,95,,95,,100,,100,,100,,100,,100,,100,,98,,105,,105,,110,,105,,110,,105,,110,,105,,120,,105,,110,,110,,110,,110,,110,,110,,125,,120,,125,,125,,125,,130,,125,,135,,145,,130,,140,,135,,140,,140,,140,,138,,150,s,140,,140,,145,,143,,150,,150,,145,,150,,150,,148,,150,,150,,155,,150,,145,,150,,155,,160,,160,,150,,158,,170,,185,,170,,190,,190,,190,,190,,195,,205,,190,,200,,200,,198,,210,,205,,220,,200,,210,,220,,230,,210,s,235,,250,,240,,250,,240,
Camden,-,,-,,100,s,-,,-,,105,s,-,,110,s,-,,100,s,-,,-,,-,,-,,100,s,-,,-,,115,s,-,,-,,120,s,100,s,100,s,100,s,110,s,100,s,-,,100,s,-,,-,,-,,-,,-,,-,,110,s,-,,110,s,-,,-,,-,,-,,-,,-,,-,,130,s,143,s,130,s,-,,145,s,145,s,148,s,-,,-,,150,s,160,s,-,,158,s,-,,-,,153,s,-,,160,s,160,s,155,s,-,,-,,-,,-,,165,s,-,,-,,-,,-,,-,,200,s,-,,205,s,-,,230,s,195,s,-,,-,,210,s,-,,250,s,-,,-,,270,s,250,s,265,s,250,s,250,s,-,,250,s,278,s,250,s,-,,-,,-,
Campbelltown,110,s,110,s,110,s,103,s,110,s,110,s,110,s,110,s,110,s,-,,113,s,-,,110,s,-,,100,s,100,s,-,,100,s,100,s,90,s,100,s,100,s,100,s,113,s,110,s,110,s,110,s,110,s,-,,110,s,110,s,100,s,110,s,110,s,120,s,115,s,110,s,110,s,110,s,120,s,115,s,110,s,120,,125,s,115,s,130,s,118,s,123,s,125,s,140,s,135,s,143,s,130,s,133,s,133,s,140,s,125,s,138,s,145,s,130,s,120,s,145,s,-,,130,s,145,s,140,s,135,s,145,s,135,s,150,s,165,s,163,s,158,s,-,,193,s,170,s,220,s,210,s,200,s,205,s,200,s,235,s,250,,245,s,250,s,230,s,250,,260,,295,,250,,255,,250,s,250,s,270,s,250,,300,s,298,s,270,,240,
Fairfield,100,,100,,100,,100,,100,,100,,100,,105,,105,,103,,100,,100,,100,,100,,105,,105,,105,,105,,105,,105,,105,,105,,105,,110,,110,,120,,115,,118,,110,,105,,110,,110,,110,,110,,110,,115,,115,,115,,120,,120,,120,,120,,125,,120,,125,,120,,130,,125,,130,,125,,130,,130,,130,,130,,125,,130,,130,,130,,125,,140,,133,,140,,135,,140,,140,,140,,140,,145,,140,,150,,153,,160,,150,,175,,175,,190,,185,,200,,190,,200,,200,,200,,220,,220,,220,,210,,200,,220,,220,,230,,225,,228,,230,,230,,235,,250,,250,,250,,250,
Gosford,100,,90,,95,,100,,100,,100,,95,,100,,100,,100,,100,,105,,100,,100,,100,,100,,100,,105,,108,,105,,106,,108,,110,,105,,110,,110,,110,,115,,115,,115,,110,,120,,120,,120,,120,,120,,120,,120,,125,,120,,120,,120,,125,,125,,125,,125,,125,,125,,130,,125,,125,,130,,130,,130,,130,,135,,135,,140,,130,,140,,135,,140,,140,,140,,150,,150,,150,,150,,150,,150,,155,,160,,158,,165,,160,,180,,165,,175,,185,,180,,170,,190,,195,,200,,210,,190,,200,,210,,200,,220,,220,,230,,240,,240,,230,,230,,250,,240,,250,
Hawkesbury,100,s,100,s,95,s,100,s,90,s,100,s,90,s,90,s,100,s,100,s,100,s,100,s,105,s,100,s,100,s,90,s,110,s,95,s,88,s,90,s,100,s,100,s,98,s,100,s,100,s,115,s,100,s,120,s,103,s,100,s,100,s,110,s,113,,100,s,110,s,105,s,115,s,118,s,120,s,125,s,120,s,123,s,130,s,133,s,110,s,128,s,130,s,110,s,150,s,140,s,130,s,130,s,130,s,130,,160,,173,s,160,,160,,155,,155,s,153,s,150,s,130,s,153,s,158,s,160,s,150,s,140,s,120,s,165,s,160,s,-,,163,s,170,s,180,s,175,s,-,,183,s,200,s,183,s,-,,175,s,185,s,228,s,215,s,225,s,235,s,250,s,250,s,250,s,200,s,245,s,-,,250,s,220,s,218,s,250,s,230,s,238,s
Holroyd,100,,95,,100,,100,,100,,100,,115,,110,,113,,110,,110,,100,,110,,110,,105,,105,,110,,100,,100,,105,,110,,110,,118,,115,,120,,120,,120,,120,,120,,120,,120,,125,,120,,125,,120,,130,,125,,125,,135,,135,,135,,140,,140,,140,,145,,140,,130,,138,,148,,148,,140,,140,,145,,145,,138,,143,,148,,145,,140,,155,,150,,150,,150,,150,,153,s,160,,150,,150,s,175,,160,,183,,180,,200,,185,,215,,220,,218,,200,,193,,220,,225,,220,,210,,223,,250,,250,,250,,270,,260,,265,,260,,265,,270,,280,,270,,280,,270,,285,,290,
Hornsby,140,,125,,135,,135,,125,,130,,135,,130,,133,,130,,140,,135,,130,,140,,135,,135,,135,,133,,140,,135,,140,,135,,145,,145,,150,,155,,155,,150,,160,,160,,160,,150,,160,,165,,165,,163,,170,,175,,175,,180,,175,,180,,175,,190,,181,,198,,185,,190,,210,,200,,203,,210,,225,,230,,215,,243,,228,,250,,240,,230,,250,,250,,258,,253,,240,,265,,265,,265,,285,,280,,260,,293,,290,,295,,300,,320,,330,,320,,320,,325,,340,,350,,343,,345,,360,,370,,345,,345,,360,,360,,365,,370,,368,,380,,358,,360,,390,,390,,395,
Liverpool,100,,100,,100,,100,,95,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,105,,100,,100,,100,,100,,105,,100,,105,,105,,105,,110,,110,,110,,110,,105,,115,,110,,115,,120,,115,,115,,115,,120,,120,,120,,120,,125,,130,,130,,135,,130,,125,,133,,130,,135,,120,,140,,135,,135,,128,,128,,130,,110,,125,,130,,135,,140,,140,,140,,140,,138,,155,,150,,145,s,150,,168,s,155,,178,,165,,195,,188,,190,,190,,190,,200,,200,,220,,210,,245,,220,,240,,240,,260,,250,,250,,250,,250,,250,,245,,250,,260,,250,,265,
Penrith,100,,100,,95,,100,,100,,105,,95,,100,,100,,100,,103,,100,,100,,100,,100,,105,,105,,105,,100,,110,,100,,110,,110,,110,,110,,110,,105,,105,,110,,110,,105,,110,,110,,108,,90,,90,,90,,100,,90,,115,,115,,123,,125,,120,,95,,120,,130,,125,,120,,130,,130,,133,,135,,130,,135,,130,,133,,130,,130,,135,,135,,130,,135,,135,,150,,140,,150,,150,,150,,150,s,150,,160,,168,,170,,160,,180,,185,s,170,,188,,200,s,200,,190,,220,,205,,200,,220,,230,,220,,220,,222,,220,,240,,230,,215,,225,,235,,230,,240,,245,
Pittwater,140,,130,,140,,140,,135,,143,,140,,140,,135,,140,,140,,140,,140,,143,,140,,145,,150,,145,,145,,150,,-,,-,,160,,160,,165,,165,,170,,170,,175,,168,,180,,185,,180,,185,,185,,193,,195,,195,,200,,200,,210,,205,,230,,230,,220,,225,,225,,220,,220,,240,,220,,220,,240,,220,,238,,240,,240,,233,,238,,225,,230,,248,,233,,240,,240,,240,,245,,260,,263,,270,,260,,300,,300,,300,,300,,315,,295,,300,,300,,325,,350,,330,,340,,350,,360,,350,,350,,350,,345,,388,,370,,370,,360,,370,,380,,405,,420,,400,,410,
Sutherland Shire,125,,125,,125,,125,,125,,125,,125,,125,,125,,130,,125,,130,,125,,130,,130,,125,,130,,130,,130,,130,,135,,135,,135,,135,,138,,140,,145,,145,,150,,145,,150,,145,,150,,150,,155,,155,,160,,165,,160,,170,,165,,170,,175,,175,,175,,175,,180,,180,,178,,190,,175,,180,,180,,180,,180,,190,,190,,185,,190,,195,,190,,190,,193,,190,,200,,200,,200,,200,,210,,215,,220,,230,,230,,250,,250,,255,,260,,260,,260,,275,,280,,280,,290,,290,,300,,300,,300,,310,,320,,320,,320,,320,,323,,330,,320,,340,,350,,350,,350,
Warringah,140,,145,,145,,140,,145,,140,,140,,140,,145,,140,,145,,145,,145,,148,,145,,145,,150,,150,,150,,155,,155,,155,,160,,160,,165,,165,,170,,170,,175,,175,,180,,180,,185,,185,,185,,190,,195,,205,,210,,200,,220,,220,,220,,220,,230,,235,,230,,240,,240,,240,,230,,230,,250,,245,,240,,240,,250,,255,,250,,250,,265,,250,,260,,260,,270,,265,,270,,275,,285,,295,,300,,310,,325,,330,,330,,335,,330,,340,,340,,350,,350,,350,,360,,388,,370,,385,,383,,395,,395,,400,,388,,395,,400,,400,,400,,410,,425,,425,,420,
Wollondilly,-,,95,s,95,s,-,,-,,-,,-,,106,s,-,,105,s,-,,-,,110,s,-,,-,,-,,95,s,-,,110,s,-,,-,,-,,-,,105,s,-,,-,,105,s,-,,-,,-,,110,s,110,s,110,s,-,,110,s,-,,-,,-,,-,,-,,-,,110,s,-,,-,,-,,105,s,125,s,-,,-,,-,,133,s,-,,-,,-,,-,,143,s,-,,-,,-,,-,,-,,-,,-,,-,,150,s,-,,-,,-,,-,,-,,165,s,-,,165,s,-,,170,s,170,s,-,,175,s,-,,-,,185,s,-,,200,s,178,s,-,,200,s,-,,-,,-,,243,s,-,,-,,195,s,-,,-,,-,,-,,-,,-,
Wyong,90,,90,,88,,85,,90,,85,,95,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,95,,90,,95,,95,,95,,100,,100,,100,,95,,100,,95,,95,,95,,100,,100,,95,,100,,100,,100,,100,,100,,110,,110,,110,,112,,110,,110,,115,,110,,115,,115,,115,,120,,120,,115,,116,,120,,120,,133,,125,,130,,125,,125,,125,,135,,130,,130,,130,,140,,140,,140,,140,,130,,150,,150,,148,,150,,155,,170,,155,,160,,160,,168,,170,,190,,180,,180,,175,,180,,195,,185,,186,,200,,200,,190,,195,,205,,200,,200,,200,,213,,220,
Rest of GMR,85,,85,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,95,,95,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,100,,100,,100,,100,,100,,105,,105,,110,,105,,110,,110,,110,,115,,115,,115,,120,,120,,120,,125,,130,,130,,130,,135,,130,,140,,135,,135,,140,,140,,150,,150,,150,,150,,150,,160,,160,,160,,165,,170,,170,,170,,175,,180,,180,,185,,180,,193,,200,,195,,190,,200,,210,,210,,215,,211,,220,,220,,220,,210,,220,
Cessnock,80,,80,,85,,85,s,85,,90,,90,,85,,90,,85,,90,,88,,90,,85,s,85,,85,,85,,85,,80,,75,,88,s,85,s,80,s,80,,85,s,80,,80,,85,,85,s,80,,85,,83,,88,,83,,85,,85,,85,,80,,85,,85,,85,,85,,90,,85,,85,,90,,85,s,85,,90,,90,,90,,100,,100,s,103,,100,,100,,110,,110,s,120,s,120,,110,,110,,120,s,115,s,120,s,105,,118,s,130,s,125,s,128,s,130,s,130,s,130,s,130,s,140,s,148,s,160,s,140,s,140,s,150,s,160,s,150,s,150,,158,,170,s,175,s,183,,183,,193,s,170,s,170,s,180,s,190,s,173,,170,s,180,s,178,s,185,,180,s
Kiama,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,100,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,.,,-,,-,,145,s,140,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Lake Macquarie,85,,90,,90,,90,,90,,90,,90,,90,,94,,95,,90,,95,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,94,,95,,95,,95,,95,,95,,95,,95,,95,,96,,95,,100,,100,,100,,100,,105,,100,,100,,105,,105,,110,,100,,105,,110,,110,,110,,115,,115,,115,,123,,125,,120,,130,,125,,125,,130,,140,,130,,145,,140,,130,,145,,140,,142,,148,,145,,143,,150,,150,,150,,158,,168,,173,,163,,178,,170,,170,,170,,190,,180,,180,,198,,175,,195,,200,,210,,220,,210,,220,,218,,215,,220,,220,,220,
Maitland,80,,80,,85,,85,,90,,90,,90,,95,,90,,90,,90,,95,,90,,85,,90,,85,,85,,85,,90,,85,,90,,90,,88,,90,,85,,88,,90,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,90,,95,,95,,90,,95,,90,,95,,95,,95,,95,,95,,100,,95,,100,,100,,100,,110,,105,,115,,110,,115,,115,,123,,118,,120,,120,,118,s,120,,120,s,130,,124,,130,,135,,130,,140,,136,,135,,140,,145,,150,,150,,155,,155,,155,,160,,170,,170,s,170,,175,s,180,,173,,170,,170,,185,,200,,185,,185,,185,,190,,185,,185,,190,s
Newcastle,90,,90,,90,,95,,95,,95,,95,,95,,95,,95,,95,,90,,90,,95,,95,,90,,90,,90,,90,,90,,93,,95,,95,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,98,,100,,95,,100,,100,,100,,100,,103,,105,,105,,105,,105,,110,,105,,110,,110,,115,,115,,115,,115,,120,,120,,125,,125,,130,,135,,135,,140,,135,,140,,140,,145,,150,,148,,150,,160,,160,,160,,160,,170,,175,,170,,170,,180,,180,,170,,180,,190,,193,,190,,175,,190,,210,,200,,180,,208,,238,,221,,220,,225,,213,,230,,220,,215,,220,
Port Stephens,83,s,80,s,80,s,80,s,90,s,80,s,80,,90,s,85,,88,s,85,s,85,,87,,87,,90,s,83,s,90,s,85,s,85,,85,,85,,85,s,90,,85,,90,s,90,,85,s,88,s,90,,90,s,93,,90,s,90,,100,s,90,,90,s,95,s,95,,95,,98,s,100,s,100,s,105,,100,s,105,,110,s,105,s,105,s,110,,110,,118,,123,s,125,s,120,s,115,s,130,s,115,s,130,s,130,s,130,s,130,s,130,s,135,s,145,,130,s,150,s,140,s,140,s,133,s,150,s,150,s,155,s,150,s,175,s,150,s,175,s,150,s,170,s,170,s,180,s,175,s,168,s,190,s,190,s,165,s,193,s,180,s,190,s,180,s,193,s,-,,195,s,185,s,200,s,195,s,185,s,200,s,198,s,208,s
Shellharbour,-,,90,s,85,s,95,s,90,s,93,s,90,s,90,s,95,s,90,s,95,s,85,s,95,s,90,s,90,s,88,s,-,,100,s,93,s,95,s,100,,97,s,95,s,95,s,97,s,100,s,100,s,100,s,95,s,100,s,100,s,100,s,103,s,100,s,105,s,105,s,100,s,103,s,105,s,110,s,100,s,110,s,110,s,110,s,115,s,115,s,118,s,120,s,118,s,120,s,110,s,118,s,125,s,125,s,120,s,130,s,133,s,125,s,130,s,130,s,120,s,135,s,-,,125,s,130,s,150,s,120,s,140,s,150,s,-,,150,s,150,s,170,s,150,s,148,s,160,s,160,s,170,s,155,s,170,s,165,s,185,s,180,s,190,s,-,,225,s,215,s,-,,195,s,250,s,198,s,215,s,200,s,-,,-,,-,,-,,225,s,-,
Wollongong,80,,80,,80,,85,,85,,85,,85,,85,,85,,90,,90,,90,,90,,85,,90,,85,,90,,90,,90,,90,,90,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,95,,100,,95,,100,,100,,100,,100,,110,,100,,105,,110,,110,,110,,118,,110,,115,,120,,120,,120,,125,,120,,125,,130,,130,,130,,140,,130,,130,,135,,135,,135,,135,,135,,150,,140,,150,,150,,150,,160,,160,,165,,160,,170,,170,,175,,180,,183,,190,,190,,195,,200,,200,,200,,210,,206,,215,,210,,220,,220,,230,,220,,230,,220,,240,
Rest of NSW,70,,75,,75,,75,,75,,75,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,85,,85,,85,,85,,80,,85,,85,,85,,85,,85,,85,,85,,85,,90,,90,,90,,90,,90,,90,,90,,95,,95,,100,,100,,100,,105,,105,,110,,105,,110,,115,,115,,115,,120,,120,,115,,120,,120,,120,,125,,125,,125,,130,,130,,138,,135,,140,,140,,140,,145,,150,,145,,150,,150,,150,,150,,160,,155,,160,,160,,165,,175,,170,,175,,175,,175,,175,,180,,180,,180,
New South Wales,120,,120,,120,,120,,120,,120,,125,,120,,120,,120,,125,,120,,120,,125,,120,,125,,120,,125,,130,,130,,125,,130,,135,,135,,130,,140,,145,,145,,150,,150,,150,,155,,150,,160,,160,,165,,160,,170,,175,,180,,175,,190,,190,,200,,190,,200,,200,,210,,200,,200,,210,,215,,213,,210,,220,,225,,220,,230,,230,,240,,235,,240,,250,,250,,250,,250,,260,,260,,260,,275,,280,,285,,300,,310,,310,,310,,300,,320,,330,,320,,325,,340,,340,,350,,340,,350,,360,,360,,350,,365,,380,,380,,380,,380,,385,,395,,405,,400,,410,
