All Dwellings - One Bedroom,Median Rent ($ per Week) by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
Sydney,150,,150,,153,,150,,150,,150,,150,,150,,155,,160,,155,,155,,160,,160,,160,,160,,160,,165,,170,,170,,175,,180,,185,,200,,190,,200,,215,,215,,210,,201,,220,,230,,225,,230,,240,,250,,250,,260,,260,,280,,280,,295,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,310,,310,,310,,320,,320,,330,,330,,330,,340,,350,,350,,350,,360,,370,,370,,380,,400,,410,,420,,420,,420,,420,,425,,430,,450,,450,,460,,460,,470,,490,,480,,500,,500,,500,,500,,500,,500,,510,,510,,520,,530,,540,,520,
Waverley,150,,150,,150,,150,,150,,155,,150,,150,,155,,155,,155,,150,,160,,155,,155,,155,,160,,165,,165,,170,,175,,180,,180,,180,,190,,190,,190,,200,,200,,200,,210,,210,,215,,220,,220,,230,,230,,230,,235,,250,,250,,255,,250,,273,,260,,270,,255,,260,,260,,270,,260,,280,,280,,270,,270,,290,,280,,275,,270,,300,,300,,290,,300,,300,,300,,300,,300,,320,,330,,330,,330,,365,,360,,380,,370,,400,,400,,400,,395,,415,,425,,420,,413,,440,,450,,450,,450,,495,,460,,485,,470,,500,,500,,493,,480,,523,,500,,500,,493,
Woollahra,170,,175,,170,,165,,170,,170,,170,,170,,165,,170,,175,,174,,170,,180,,170,,175,,175,,180,,185,,190,,190,,190,,195,,200,,205,,210,,215,,210,,220,,220,,230,,230,,233,,235,,240,,250,,250,,250,,260,,263,,275,,285,,285,,290,,290,,295,,320,,340,,320,,315,,298,,285,,280,,290,,280,,290,,288,,280,,278,,280,,290,,290,,300,,310,,300,,300,,330,,320,,328,,350,,335,,365,,370,,380,,390,,395,,400,,400,,400,,388,,410,,420,,420,,430,,450,,450,,460,,450,,450,,478,,450,,460,,460,,480,,473,,495,,485,,480,,478,
Middle Ring,125,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,135,,140,,140,,140,,140,,145,,145,,145,,150,,150,,150,,150,,150,,155,,155,,160,,160,,165,,165,,170,,180,,185,,185,,195,,190,,190,,200,,200,,195,,190,,215,,200,,210,,210,,210,,220,,210,,220,,230,,230,,243,,235,,250,,240,,250,,260,,260,,270,,270,,275,,290,,300,,320,,330,,320,,320,,330,,330,,350,,330,,350,,360,,350,,360,,340,,360,,380,,375,,380,,375,,390,,390,,400,,400,,400,,413,,420,,430,,430,
Auburn,103,s,115,s,110,s,110,s,100,s,110,,110,,115,,115,,105,s,110,,110,,110,,100,,110,,110,,110,,110,,110,,110,,110,,115,,110,,115,s,115,,120,,120,,130,,120,,125,,125,,125,,130,,125,,125,,130,s,130,,130,,135,,135,,145,,145,,145,,140,,143,,150,,140,,145,s,150,,143,,140,,140,,140,,140,,140,,150,,145,s,200,,178,,205,,200,,170,,200,,200,,290,,180,,175,,300,,300,,300,,330,,345,,330,,360,,350,,330,,365,,360,,365,,370,,320,,320,,390,,385,,385,,390,,400,,400,,410,,430,,410,,410,,410,,420,,418,,420,,410,,430,,420,
Bankstown,110,s,110,s,120,s,110,s,115,,110,s,110,s,100,s,120,s,103,s,120,s,110,,110,s,100,s,110,s,110,s,110,s,113,s,110,,120,s,100,s,130,s,120,s,110,s,130,s,135,,128,s,120,s,120,s,120,s,120,,120,,110,,115,s,120,,130,,120,s,120,,120,,130,s,120,,130,,135,,145,s,135,s,130,,138,,130,,140,s,120,s,133,s,130,,125,s,135,s,125,,135,,133,s,130,,143,s,120,s,133,s,155,s,155,s,155,s,158,s,145,s,154,s,157,s,160,s,178,s,157,,178,s,185,s,165,s,190,s,205,s,180,,210,,210,,180,,180,,253,s,220,s,180,,150,,200,,200,,210,,205,,220,,220,s,200,,248,,240,,250,,245,,260,,260,,280,
Burwood,115,,120,,125,,130,,128,,123,,135,,120,,130,,128,,130,,135,,115,,140,,120,,120,,120,,120,,120,,130,,135,,130,,125,,145,,140,,135,,143,,140,,150,,150,,155,,160,,160,,165,,170,,160,,170,,163,,168,,170,,180,,180,,180,,190,,180,,183,,180,,190,,200,,180,,190,,190,,190,,180,,190,,193,,180,,193,,190,,193,,200,,200,,200,,213,,200,,210,,220,,220,,245,,220,,220,,225,,230,s,263,,270,,280,,285,,278,,300,,240,,295,,285,,293,,300,s,300,,285,,310,,330,,350,,360,,350,,350,,370,,360,,460,,415,,390,,405,,435,
Canterbury,113,,115,,120,,115,,115,,120,,115,,115,,115,,115,,110,,115,,113,,110,,110,,110,,110,,110,,110,,110,,115,,120,,120,,125,,120,,125,,130,,125,,125,,130,,130,,130,,135,,135,,135,,140,,135,,135,,140,,140,,140,,145,,150,,150,,145,,150,,150,,145,,145,,145,,150,,145,,150,,145,,145,,145,,150,,150,,150,,140,,150,,150,,155,,155,,150,,150,,160,,170,,175,,170,,188,,195,,200,,215,,220,,230,,230,,225,,245,,240,,240,,260,,250,,265,,260,,270,,260,,280,,280,,280,,280,,280,,280,,295,,300,,300,,295,,300,,300,
Canada Bay,130,s,140,,140,s,140,s,143,,123,,140,,140,s,135,,140,,140,,140,s,135,,140,s,130,s,135,s,134,,138,s,140,s,140,s,140,,140,s,150,,140,s,165,,155,s,165,s,165,,155,,158,,193,,190,s,170,s,165,,180,s,180,,180,,200,s,170,s,210,,190,,210,s,190,,230,,200,,190,s,220,,260,,218,,270,,270,,235,s,278,,275,,300,,290,,300,,280,,270,,280,,270,,298,,300,,278,,310,,308,,320,,340,,340,,350,,370,,370,,400,,390,,398,,400,,420,,400,,410,,420,,420,,430,,440,,443,,400,,465,,470,,460,,480,,475,,460,,470,,470,,478,,490,,480,,483,,500,,500,
Hunters Hill,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,140,s,-,,-,,-,,-,,-,,165,s,-,,-,,-,,-,,170,s,160,s,-,,155,s,-,,175,s,170,s,180,s,225,s,-,,-,,190,s,-,,-,,-,,200,s,-,,-,,-,,-,,-,,-,,-,,-,,203,s,-,,223,s,285,s,260,s,260,s,-,,278,s,210,s,253,s,-,,240,s,235,s,-,,220,s,-,,300,s,-,,-,,320,s,280,s,300,s,-,,290,s,355,s,320,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,0,-,,-,,-,,-,,-,,-,,-,,435,s
